"","cbsa","place","age_group","estimate","moe"
"1","Bakersfield, CA Metro Area","Bakersfield city","18-64",7005,649
"2","Bakersfield, CA Metro Area","Bakersfield city","65+",5940,513
"3","Bakersfield, CA Metro Area","Ridgecrest city","18-64",2048,429
"4","Bakersfield, CA Metro Area","Ridgecrest city","65+",1008,178
"5","Bakersfield, CA Metro Area","Oildale CDP","18-64",1455,347
"6","Bakersfield, CA Metro Area","Oildale CDP","65+",614,202
"7","Bakersfield, CA Metro Area","Rosamond CDP","18-64",1551,243
"8","Bakersfield, CA Metro Area","Rosamond CDP","65+",406,129
"9","Bakersfield, CA Metro Area","California City city","18-64",1046,204
"10","Bakersfield, CA Metro Area","California City city","65+",317,96
"11","Bakersfield, CA Metro Area","Rosedale CDP","18-64",436,161
"12","Bakersfield, CA Metro Area","Rosedale CDP","65+",469,182
"13","Bakersfield, CA Metro Area","Tehachapi city","18-64",434,144
"14","Bakersfield, CA Metro Area","Tehachapi city","65+",417,146
"15","Bakersfield, CA Metro Area","Golden Hills CDP","18-64",338,149
"16","Bakersfield, CA Metro Area","Golden Hills CDP","65+",215,75
"17","Bakersfield, CA Metro Area","Bear Valley Springs CDP","18-64",160,104
"18","Bakersfield, CA Metro Area","Bear Valley Springs CDP","65+",382,139
"19","Bakersfield, CA Metro Area","Delano city","18-64",281,164
"20","Bakersfield, CA Metro Area","Delano city","65+",244,93
