"","cbsa","place","age_group","estimate","moe"
"1","Chico, CA Metro Area","Chico city","18-64",1701,298
"2","Chico, CA Metro Area","Chico city","65+",2351,287
"3","Chico, CA Metro Area","Paradise town","18-64",592,176
"4","Chico, CA Metro Area","Paradise town","65+",1291,210
"5","Chico, CA Metro Area","Magalia CDP","18-64",484,187
"6","Chico, CA Metro Area","Magalia CDP","65+",614,148
"7","Chico, CA Metro Area","Oroville East CDP","18-64",347,146
"8","Chico, CA Metro Area","Oroville East CDP","65+",586,127
"9","Chico, CA Metro Area","Oroville city","18-64",355,141
"10","Chico, CA Metro Area","Oroville city","65+",529,143
"11","Chico, CA Metro Area","Durham CDP","18-64",139,101
"12","Chico, CA Metro Area","Durham CDP","65+",345,194
"13","Chico, CA Metro Area","Thermalito CDP","18-64",242,88
"14","Chico, CA Metro Area","Thermalito CDP","65+",219,77
"15","Chico, CA Metro Area","Palermo CDP","18-64",158,101
"16","Chico, CA Metro Area","Palermo CDP","65+",294,80
"17","Chico, CA Metro Area","Kelly Ridge CDP","18-64",27,32
"18","Chico, CA Metro Area","Kelly Ridge CDP","65+",310,96
"19","Chico, CA Metro Area","Gridley city","18-64",171,91
"20","Chico, CA Metro Area","Gridley city","65+",142,66
