"","cbsa","place","age_group","estimate","moe"
"1","Clearlake, CA Micro Area","Clearlake city","18-64",401,112
"2","Clearlake, CA Micro Area","Clearlake city","65+",693,157
"3","Clearlake, CA Micro Area","Lakeport city","18-64",149,96
"4","Clearlake, CA Micro Area","Lakeport city","65+",269,128
"5","Clearlake, CA Micro Area","Clearlake Oaks CDP","18-64",140,73
"6","Clearlake, CA Micro Area","Clearlake Oaks CDP","65+",200,105
"7","Clearlake, CA Micro Area","Kelseyville CDP","18-64",145,111
"8","Clearlake, CA Micro Area","Kelseyville CDP","65+",170,118
"9","Clearlake, CA Micro Area","Clearlake Riviera CDP","18-64",164,122
"10","Clearlake, CA Micro Area","Clearlake Riviera CDP","65+",138,80
"11","Clearlake, CA Micro Area","Hidden Valley Lake CDP","18-64",143,88
"12","Clearlake, CA Micro Area","Hidden Valley Lake CDP","65+",158,81
"13","Clearlake, CA Micro Area","North Lakeport CDP","18-64",38,35
"14","Clearlake, CA Micro Area","North Lakeport CDP","65+",222,87
"15","Clearlake, CA Micro Area","Lucerne CDP","18-64",62,48
"16","Clearlake, CA Micro Area","Lucerne CDP","65+",170,87
"17","Clearlake, CA Micro Area","Lower Lake CDP","18-64",137,92
"18","Clearlake, CA Micro Area","Lower Lake CDP","65+",82,77
"19","Clearlake, CA Micro Area","Nice CDP","18-64",33,30
"20","Clearlake, CA Micro Area","Nice CDP","65+",121,52
