"","cbsa","place","age_group","estimate","moe"
"1","Crescent City, CA Micro Area","Crescent City city","18-64",108,67
"2","Crescent City, CA Micro Area","Crescent City city","65+",140,87
"3","Crescent City, CA Micro Area","Bertsch-Oceanview CDP","18-64",46,43
"4","Crescent City, CA Micro Area","Bertsch-Oceanview CDP","65+",117,56
"5","Crescent City, CA Micro Area","Smith River CDP","18-64",28,31
"6","Crescent City, CA Micro Area","Smith River CDP","65+",40,42
"7","Crescent City, CA Micro Area","Klamath CDP","18-64",36,16
"8","Crescent City, CA Micro Area","Klamath CDP","65+",20,15
"9","Crescent City, CA Micro Area","Gasquet CDP","18-64",28,35
"10","Crescent City, CA Micro Area","Gasquet CDP","65+",10,15
"11","Crescent City, CA Micro Area","Hiouchi CDP","18-64",0,12
"12","Crescent City, CA Micro Area","Hiouchi CDP","65+",10,15
