"","cbsa","place","age_group","estimate","moe"
"1","El Centro, CA Metro Area","El Centro city","18-64",666,161
"2","El Centro, CA Metro Area","El Centro city","65+",628,177
"3","El Centro, CA Metro Area","Brawley city","18-64",510,192
"4","El Centro, CA Metro Area","Brawley city","65+",367,139
"5","El Centro, CA Metro Area","Calexico city","18-64",346,174
"6","El Centro, CA Metro Area","Calexico city","65+",322,160
"7","El Centro, CA Metro Area","Imperial city","18-64",399,152
"8","El Centro, CA Metro Area","Imperial city","65+",204,115
"9","El Centro, CA Metro Area","Salton City CDP","18-64",54,51
"10","El Centro, CA Metro Area","Salton City CDP","65+",139,68
"11","El Centro, CA Metro Area","Holtville city","18-64",58,63
"12","El Centro, CA Metro Area","Holtville city","65+",119,85
"13","El Centro, CA Metro Area","Heber CDP","18-64",31,36
"14","El Centro, CA Metro Area","Heber CDP","65+",118,102
"15","El Centro, CA Metro Area","Calipatria city","18-64",59,46
"16","El Centro, CA Metro Area","Calipatria city","65+",31,30
"17","El Centro, CA Metro Area","Seeley CDP","18-64",40,63
"18","El Centro, CA Metro Area","Seeley CDP","65+",27,44
"19","El Centro, CA Metro Area","Bombay Beach CDP","18-64",6,8
"20","El Centro, CA Metro Area","Bombay Beach CDP","65+",50,30
