"","cbsa","place","age_group","estimate","moe"
"1","Eureka-Arcata, CA Micro Area","Eureka city","18-64",1018,251
"2","Eureka-Arcata, CA Micro Area","Eureka city","65+",1004,180
"3","Eureka-Arcata, CA Micro Area","McKinleyville CDP","18-64",385,137
"4","Eureka-Arcata, CA Micro Area","McKinleyville CDP","65+",696,168
"5","Eureka-Arcata, CA Micro Area","Fortuna city","18-64",302,93
"6","Eureka-Arcata, CA Micro Area","Fortuna city","65+",473,123
"7","Eureka-Arcata, CA Micro Area","Arcata city","18-64",329,155
"8","Eureka-Arcata, CA Micro Area","Arcata city","65+",320,106
"9","Eureka-Arcata, CA Micro Area","Myrtletown CDP","18-64",149,118
"10","Eureka-Arcata, CA Micro Area","Myrtletown CDP","65+",296,108
"11","Eureka-Arcata, CA Micro Area","Pine Hills CDP","18-64",32,36
"12","Eureka-Arcata, CA Micro Area","Pine Hills CDP","65+",153,77
"13","Eureka-Arcata, CA Micro Area","Cutten CDP","18-64",74,64
"14","Eureka-Arcata, CA Micro Area","Cutten CDP","65+",104,68
"15","Eureka-Arcata, CA Micro Area","Willow Creek CDP","18-64",59,63
"16","Eureka-Arcata, CA Micro Area","Willow Creek CDP","65+",74,57
"17","Eureka-Arcata, CA Micro Area","Rio Dell city","18-64",29,24
"18","Eureka-Arcata, CA Micro Area","Rio Dell city","65+",88,49
"19","Eureka-Arcata, CA Micro Area","Ferndale city","18-64",32,26
"20","Eureka-Arcata, CA Micro Area","Ferndale city","65+",69,37
