"","cbsa","place","age_group","estimate","moe"
"1","Hanford-Corcoran, CA Metro Area","Hanford city","18-64",2272,390
"2","Hanford-Corcoran, CA Metro Area","Hanford city","65+",1453,210
"3","Hanford-Corcoran, CA Metro Area","Lemoore city","18-64",2219,403
"4","Hanford-Corcoran, CA Metro Area","Lemoore city","65+",558,154
"5","Hanford-Corcoran, CA Metro Area","Lemoore Station CDP","18-64",719,182
"6","Hanford-Corcoran, CA Metro Area","Lemoore Station CDP","65+",0,17
"7","Hanford-Corcoran, CA Metro Area","Armona CDP","18-64",160,105
"8","Hanford-Corcoran, CA Metro Area","Armona CDP","65+",103,59
"9","Hanford-Corcoran, CA Metro Area","Corcoran city","18-64",110,62
"10","Hanford-Corcoran, CA Metro Area","Corcoran city","65+",133,70
"11","Hanford-Corcoran, CA Metro Area","Avenal city","18-64",114,84
"12","Hanford-Corcoran, CA Metro Area","Avenal city","65+",71,79
"13","Hanford-Corcoran, CA Metro Area","Home Garden CDP","18-64",17,15
"14","Hanford-Corcoran, CA Metro Area","Home Garden CDP","65+",40,22
"15","Hanford-Corcoran, CA Metro Area","Grangeville CDP","18-64",15,25
"16","Hanford-Corcoran, CA Metro Area","Grangeville CDP","65+",40,34
"17","Hanford-Corcoran, CA Metro Area","Stratford CDP","18-64",13,20
"18","Hanford-Corcoran, CA Metro Area","Stratford CDP","65+",12,15
"19","Hanford-Corcoran, CA Metro Area","Hardwick CDP","18-64",5,8
"20","Hanford-Corcoran, CA Metro Area","Hardwick CDP","65+",8,11
