"","cbsa","place","age_group","estimate","moe"
"1","Los Angeles-Long Beach-Anaheim, CA Metro Area","Los Angeles city","18-64",39805,1481
"2","Los Angeles-Long Beach-Anaheim, CA Metro Area","Los Angeles city","65+",43086,1208
"3","Los Angeles-Long Beach-Anaheim, CA Metro Area","Long Beach city","18-64",8702,626
"4","Los Angeles-Long Beach-Anaheim, CA Metro Area","Long Beach city","65+",7696,522
"5","Los Angeles-Long Beach-Anaheim, CA Metro Area","Huntington Beach city","18-64",3965,454
"6","Los Angeles-Long Beach-Anaheim, CA Metro Area","Huntington Beach city","65+",6140,511
"7","Los Angeles-Long Beach-Anaheim, CA Metro Area","Anaheim city","18-64",4516,499
"8","Los Angeles-Long Beach-Anaheim, CA Metro Area","Anaheim city","65+",4818,377
"9","Los Angeles-Long Beach-Anaheim, CA Metro Area","Santa Clarita city","18-64",4165,474
"10","Los Angeles-Long Beach-Anaheim, CA Metro Area","Santa Clarita city","65+",3940,364
"11","Los Angeles-Long Beach-Anaheim, CA Metro Area","Lancaster city","18-64",4576,484
"12","Los Angeles-Long Beach-Anaheim, CA Metro Area","Lancaster city","65+",2710,311
"13","Los Angeles-Long Beach-Anaheim, CA Metro Area","Torrance city","18-64",2244,315
"14","Los Angeles-Long Beach-Anaheim, CA Metro Area","Torrance city","65+",3951,353
"15","Los Angeles-Long Beach-Anaheim, CA Metro Area","Palmdale city","18-64",3369,428
"16","Los Angeles-Long Beach-Anaheim, CA Metro Area","Palmdale city","65+",2260,278
"17","Los Angeles-Long Beach-Anaheim, CA Metro Area","Irvine city","18-64",2734,509
"18","Los Angeles-Long Beach-Anaheim, CA Metro Area","Irvine city","65+",2735,304
"19","Los Angeles-Long Beach-Anaheim, CA Metro Area","Mission Viejo city","18-64",2008,248
"20","Los Angeles-Long Beach-Anaheim, CA Metro Area","Mission Viejo city","65+",3034,300
