"","cbsa","place","age_group","estimate","moe"
"1","Madera, CA Metro Area","Madera city","18-64",821,270
"2","Madera, CA Metro Area","Madera city","65+",531,151
"3","Madera, CA Metro Area","Bonadelle Ranchos-Madera Ranchos CDP","18-64",261,92
"4","Madera, CA Metro Area","Bonadelle Ranchos-Madera Ranchos CDP","65+",340,95
"5","Madera, CA Metro Area","Yosemite Lakes CDP","18-64",142,58
"6","Madera, CA Metro Area","Yosemite Lakes CDP","65+",350,106
"7","Madera, CA Metro Area","Chowchilla city","18-64",237,110
"8","Madera, CA Metro Area","Chowchilla city","65+",165,68
"9","Madera, CA Metro Area","Madera Acres CDP","18-64",116,95
"10","Madera, CA Metro Area","Madera Acres CDP","65+",225,83
"11","Madera, CA Metro Area","Ahwahnee CDP","18-64",37,33
"12","Madera, CA Metro Area","Ahwahnee CDP","65+",217,109
"13","Madera, CA Metro Area","Oakhurst CDP","18-64",0,12
"14","Madera, CA Metro Area","Oakhurst CDP","65+",218,89
"15","Madera, CA Metro Area","Coarsegold CDP","18-64",0,12
"16","Madera, CA Metro Area","Coarsegold CDP","65+",170,96
"17","Madera, CA Metro Area","Rolling Hills CDP","18-64",33,30
"18","Madera, CA Metro Area","Rolling Hills CDP","65+",78,42
"19","Madera, CA Metro Area","Nipinnawasee CDP","18-64",6,10
"20","Madera, CA Metro Area","Nipinnawasee CDP","65+",56,46
