"","cbsa","place","age_group","estimate","moe"
"1","Merced, CA Metro Area","Merced city","18-64",1425,257
"2","Merced, CA Metro Area","Merced city","65+",1477,222
"3","Merced, CA Metro Area","Atwater city","18-64",653,190
"4","Merced, CA Metro Area","Atwater city","65+",722,112
"5","Merced, CA Metro Area","Los Banos city","18-64",734,206
"6","Merced, CA Metro Area","Los Banos city","65+",542,157
"7","Merced, CA Metro Area","McSwain CDP","18-64",66,52
"8","Merced, CA Metro Area","McSwain CDP","65+",293,89
"9","Merced, CA Metro Area","Delhi CDP","18-64",245,146
"10","Merced, CA Metro Area","Delhi CDP","65+",83,54
"11","Merced, CA Metro Area","Winton CDP","18-64",102,88
"12","Merced, CA Metro Area","Winton CDP","65+",219,92
"13","Merced, CA Metro Area","Gustine city","18-64",53,53
"14","Merced, CA Metro Area","Gustine city","65+",167,109
"15","Merced, CA Metro Area","Livingston city","18-64",51,50
"16","Merced, CA Metro Area","Livingston city","65+",142,95
"17","Merced, CA Metro Area","Dos Palos city","18-64",103,84
"18","Merced, CA Metro Area","Dos Palos city","65+",74,65
"19","Merced, CA Metro Area","Hilmar-Irwin CDP","18-64",41,42
"20","Merced, CA Metro Area","Hilmar-Irwin CDP","65+",81,58
