"","cbsa","place","age_group","estimate","moe"
"1","Modesto, CA Metro Area","Modesto city","18-64",4323,495
"2","Modesto, CA Metro Area","Modesto city","65+",4861,465
"3","Modesto, CA Metro Area","Turlock city","18-64",1312,355
"4","Modesto, CA Metro Area","Turlock city","65+",1014,180
"5","Modesto, CA Metro Area","Ceres city","18-64",553,131
"6","Modesto, CA Metro Area","Ceres city","65+",721,134
"7","Modesto, CA Metro Area","Oakdale city","18-64",650,203
"8","Modesto, CA Metro Area","Oakdale city","65+",348,121
"9","Modesto, CA Metro Area","Patterson city","18-64",676,251
"10","Modesto, CA Metro Area","Patterson city","65+",181,115
"11","Modesto, CA Metro Area","Riverbank city","18-64",415,138
"12","Modesto, CA Metro Area","Riverbank city","65+",323,93
"13","Modesto, CA Metro Area","Newman city","18-64",246,131
"14","Modesto, CA Metro Area","Newman city","65+",265,130
"15","Modesto, CA Metro Area","Salida CDP","18-64",170,81
"16","Modesto, CA Metro Area","Salida CDP","65+",320,158
"17","Modesto, CA Metro Area","Hughson city","18-64",229,134
"18","Modesto, CA Metro Area","Hughson city","65+",197,104
"19","Modesto, CA Metro Area","Waterford city","18-64",221,111
"20","Modesto, CA Metro Area","Waterford city","65+",102,65
