"","cbsa","place","age_group","estimate","moe"
"1","Napa, CA Metro Area","Napa city","18-64",1246,270
"2","Napa, CA Metro Area","Napa city","65+",2282,218
"3","Napa, CA Metro Area","American Canyon city","18-64",598,135
"4","Napa, CA Metro Area","American Canyon city","65+",392,88
"5","Napa, CA Metro Area","Calistoga city","18-64",61,73
"6","Napa, CA Metro Area","Calistoga city","65+",218,102
"7","Napa, CA Metro Area","St. Helena city","18-64",39,42
"8","Napa, CA Metro Area","St. Helena city","65+",218,66
"9","Napa, CA Metro Area","Yountville city","18-64",71,41
"10","Napa, CA Metro Area","Yountville city","65+",126,44
"11","Napa, CA Metro Area","Silverado Resort CDP","18-64",0,12
"12","Napa, CA Metro Area","Silverado Resort CDP","65+",157,68
"13","Napa, CA Metro Area","Angwin CDP","18-64",65,38
"14","Napa, CA Metro Area","Angwin CDP","65+",32,18
"15","Napa, CA Metro Area","Deer Park CDP","18-64",7,9
"16","Napa, CA Metro Area","Deer Park CDP","65+",39,24
"17","Napa, CA Metro Area","Moskowite Corner CDP","18-64",7,10
"18","Napa, CA Metro Area","Moskowite Corner CDP","65+",8,11
"19","Napa, CA Metro Area","Oakville CDP","18-64",0,12
"20","Napa, CA Metro Area","Oakville CDP","65+",0,12
"21","Napa, CA Metro Area","Rutherford CDP","18-64",0,12
"22","Napa, CA Metro Area","Rutherford CDP","65+",0,12
