"","cbsa","place","age_group","estimate","moe"
"1","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Oxnard city","18-64",4146,420
"2","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Oxnard city","65+",2989,330
"3","Oxnard-Thousand Oaks-Ventura, CA Metro Area","San Buenaventura (Ventura) city","18-64",2912,355
"4","Oxnard-Thousand Oaks-Ventura, CA Metro Area","San Buenaventura (Ventura) city","65+",3841,297
"5","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Thousand Oaks city","18-64",1753,268
"6","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Thousand Oaks city","65+",4299,366
"7","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Simi Valley city","18-64",2509,350
"8","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Simi Valley city","65+",3175,290
"9","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Camarillo city","18-64",1926,358
"10","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Camarillo city","65+",2698,272
"11","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Moorpark city","18-64",639,159
"12","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Moorpark city","65+",881,186
"13","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Port Hueneme city","18-64",873,232
"14","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Port Hueneme city","65+",404,131
"15","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Santa Paula city","18-64",467,160
"16","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Santa Paula city","65+",508,123
"17","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Fillmore city","18-64",564,193
"18","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Fillmore city","65+",323,119
"19","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Mira Monte CDP","18-64",266,119
"20","Oxnard-Thousand Oaks-Ventura, CA Metro Area","Mira Monte CDP","65+",265,110
