"","cbsa","place","age_group","estimate","moe"
"1","Red Bluff, CA Micro Area","Red Bluff city","18-64",327,151
"2","Red Bluff, CA Micro Area","Red Bluff city","65+",362,112
"3","Red Bluff, CA Micro Area","Corning city","18-64",199,111
"4","Red Bluff, CA Micro Area","Corning city","65+",233,124
"5","Red Bluff, CA Micro Area","Lake California CDP","18-64",126,75
"6","Red Bluff, CA Micro Area","Lake California CDP","65+",101,63
"7","Red Bluff, CA Micro Area","Los Molinos CDP","18-64",52,45
"8","Red Bluff, CA Micro Area","Los Molinos CDP","65+",112,63
"9","Red Bluff, CA Micro Area","Rancho Tehama Reserve CDP","18-64",6,14
"10","Red Bluff, CA Micro Area","Rancho Tehama Reserve CDP","65+",93,53
"11","Red Bluff, CA Micro Area","Bend CDP","18-64",0,12
"12","Red Bluff, CA Micro Area","Bend CDP","65+",97,43
"13","Red Bluff, CA Micro Area","Tehama city","18-64",18,18
"14","Red Bluff, CA Micro Area","Tehama city","65+",36,18
"15","Red Bluff, CA Micro Area","Mineral CDP","18-64",22,23
"16","Red Bluff, CA Micro Area","Mineral CDP","65+",19,21
"17","Red Bluff, CA Micro Area","Gerber CDP","18-64",15,23
"18","Red Bluff, CA Micro Area","Gerber CDP","65+",23,21
"19","Red Bluff, CA Micro Area","Manton CDP","18-64",0,12
"20","Red Bluff, CA Micro Area","Manton CDP","65+",27,22
