"","cbsa","place","age_group","estimate","moe"
"1","Redding, CA Metro Area","Redding city","18-64",2745,357
"2","Redding, CA Metro Area","Redding city","65+",3639,270
"3","Redding, CA Metro Area","Shasta Lake city","18-64",436,140
"4","Redding, CA Metro Area","Shasta Lake city","65+",437,96
"5","Redding, CA Metro Area","Anderson city","18-64",347,120
"6","Redding, CA Metro Area","Anderson city","65+",294,81
"7","Redding, CA Metro Area","Shingletown CDP","18-64",32,33
"8","Redding, CA Metro Area","Shingletown CDP","65+",231,70
"9","Redding, CA Metro Area","Bella Vista CDP","18-64",34,23
"10","Redding, CA Metro Area","Bella Vista CDP","65+",204,43
"11","Redding, CA Metro Area","Shasta CDP","18-64",82,52
"12","Redding, CA Metro Area","Shasta CDP","65+",94,48
"13","Redding, CA Metro Area","Cottonwood CDP","18-64",128,90
"14","Redding, CA Metro Area","Cottonwood CDP","65+",22,28
"15","Redding, CA Metro Area","Burney CDP","18-64",46,43
"16","Redding, CA Metro Area","Burney CDP","65+",93,60
"17","Redding, CA Metro Area","Palo Cedro CDP","18-64",13,16
"18","Redding, CA Metro Area","Palo Cedro CDP","65+",110,44
"19","Redding, CA Metro Area","Mountain Gate CDP","18-64",59,43
"20","Redding, CA Metro Area","Mountain Gate CDP","65+",29,25
