"","cbsa","place","age_group","estimate","moe"
"1","Riverside-San Bernardino-Ontario, CA Metro Area","Riverside city","18-64",6508,646
"2","Riverside-San Bernardino-Ontario, CA Metro Area","Riverside city","65+",5423,485
"3","Riverside-San Bernardino-Ontario, CA Metro Area","Temecula city","18-64",6535,556
"4","Riverside-San Bernardino-Ontario, CA Metro Area","Temecula city","65+",2233,310
"5","Riverside-San Bernardino-Ontario, CA Metro Area","Moreno Valley city","18-64",4964,553
"6","Riverside-San Bernardino-Ontario, CA Metro Area","Moreno Valley city","65+",2845,321
"7","Riverside-San Bernardino-Ontario, CA Metro Area","Menifee city","18-64",3836,488
"8","Riverside-San Bernardino-Ontario, CA Metro Area","Menifee city","65+",3707,370
"9","Riverside-San Bernardino-Ontario, CA Metro Area","Murrieta city","18-64",4926,514
"10","Riverside-San Bernardino-Ontario, CA Metro Area","Murrieta city","65+",2315,297
"11","Riverside-San Bernardino-Ontario, CA Metro Area","Rancho Cucamonga city","18-64",3710,429
"12","Riverside-San Bernardino-Ontario, CA Metro Area","Rancho Cucamonga city","65+",3205,333
"13","Riverside-San Bernardino-Ontario, CA Metro Area","San Bernardino city","18-64",3569,416
"14","Riverside-San Bernardino-Ontario, CA Metro Area","San Bernardino city","65+",2830,292
"15","Riverside-San Bernardino-Ontario, CA Metro Area","Hemet city","18-64",2505,361
"16","Riverside-San Bernardino-Ontario, CA Metro Area","Hemet city","65+",3836,354
"17","Riverside-San Bernardino-Ontario, CA Metro Area","Corona city","18-64",3950,430
"18","Riverside-San Bernardino-Ontario, CA Metro Area","Corona city","65+",2062,290
"19","Riverside-San Bernardino-Ontario, CA Metro Area","Apple Valley town","18-64",2848,380
"20","Riverside-San Bernardino-Ontario, CA Metro Area","Apple Valley town","65+",2801,289
