"","cbsa","place","age_group","estimate","moe"
"1","Sacramento-Roseville-Folsom, CA Metro Area","Sacramento city","18-64",10756,657
"2","Sacramento-Roseville-Folsom, CA Metro Area","Sacramento city","65+",10616,559
"3","Sacramento-Roseville-Folsom, CA Metro Area","Roseville city","18-64",3811,469
"4","Sacramento-Roseville-Folsom, CA Metro Area","Roseville city","65+",4590,411
"5","Sacramento-Roseville-Folsom, CA Metro Area","Elk Grove city","18-64",4633,439
"6","Sacramento-Roseville-Folsom, CA Metro Area","Elk Grove city","65+",3527,356
"7","Sacramento-Roseville-Folsom, CA Metro Area","Citrus Heights city","18-64",2802,366
"8","Sacramento-Roseville-Folsom, CA Metro Area","Citrus Heights city","65+",2872,302
"9","Sacramento-Roseville-Folsom, CA Metro Area","Arden-Arcade CDP","18-64",2092,295
"10","Sacramento-Roseville-Folsom, CA Metro Area","Arden-Arcade CDP","65+",3094,318
"11","Sacramento-Roseville-Folsom, CA Metro Area","Rancho Cordova city","18-64",2748,379
"12","Sacramento-Roseville-Folsom, CA Metro Area","Rancho Cordova city","65+",1985,223
"13","Sacramento-Roseville-Folsom, CA Metro Area","Carmichael CDP","18-64",1646,275
"14","Sacramento-Roseville-Folsom, CA Metro Area","Carmichael CDP","65+",2249,269
"15","Sacramento-Roseville-Folsom, CA Metro Area","Folsom city","18-64",2028,300
"16","Sacramento-Roseville-Folsom, CA Metro Area","Folsom city","65+",1807,211
"17","Sacramento-Roseville-Folsom, CA Metro Area","Lincoln city","18-64",1359,229
"18","Sacramento-Roseville-Folsom, CA Metro Area","Lincoln city","65+",2356,244
"19","Sacramento-Roseville-Folsom, CA Metro Area","Rocklin city","18-64",1920,250
"20","Sacramento-Roseville-Folsom, CA Metro Area","Rocklin city","65+",1492,188
