"","cbsa","place","age_group","estimate","moe"
"1","Salinas, CA Metro Area","Salinas city","18-64",1564,301
"2","Salinas, CA Metro Area","Salinas city","65+",1703,274
"3","Salinas, CA Metro Area","Monterey city","18-64",1122,257
"4","Salinas, CA Metro Area","Monterey city","65+",919,189
"5","Salinas, CA Metro Area","Seaside city","18-64",1140,259
"6","Salinas, CA Metro Area","Seaside city","65+",684,128
"7","Salinas, CA Metro Area","Marina city","18-64",899,210
"8","Salinas, CA Metro Area","Marina city","65+",539,141
"9","Salinas, CA Metro Area","Prunedale CDP","18-64",327,121
"10","Salinas, CA Metro Area","Prunedale CDP","65+",736,174
"11","Salinas, CA Metro Area","Pacific Grove city","18-64",238,87
"12","Salinas, CA Metro Area","Pacific Grove city","65+",706,124
"13","Salinas, CA Metro Area","Carmel-by-the-Sea city","18-64",94,73
"14","Salinas, CA Metro Area","Carmel-by-the-Sea city","65+",302,109
"15","Salinas, CA Metro Area","Del Monte Forest CDP","18-64",55,50
"16","Salinas, CA Metro Area","Del Monte Forest CDP","65+",319,77
"17","Salinas, CA Metro Area","Carmel Valley Village CDP","18-64",31,38
"18","Salinas, CA Metro Area","Carmel Valley Village CDP","65+",241,104
"19","Salinas, CA Metro Area","Del Rey Oaks city","18-64",83,27
"20","Salinas, CA Metro Area","Del Rey Oaks city","65+",86,23
