"","cbsa","place","age_group","estimate","moe"
"1","San Francisco-Oakland-Berkeley, CA Metro Area","San Francisco city","18-64",10433,728
"2","San Francisco-Oakland-Berkeley, CA Metro Area","San Francisco city","65+",12704,622
"3","San Francisco-Oakland-Berkeley, CA Metro Area","Oakland city","18-64",5598,509
"4","San Francisco-Oakland-Berkeley, CA Metro Area","Oakland city","65+",5751,438
"5","San Francisco-Oakland-Berkeley, CA Metro Area","Antioch city","18-64",3234,458
"6","San Francisco-Oakland-Berkeley, CA Metro Area","Antioch city","65+",2346,317
"7","San Francisco-Oakland-Berkeley, CA Metro Area","Concord city","18-64",2272,384
"8","San Francisco-Oakland-Berkeley, CA Metro Area","Concord city","65+",3167,298
"9","San Francisco-Oakland-Berkeley, CA Metro Area","Fremont city","18-64",2185,340
"10","San Francisco-Oakland-Berkeley, CA Metro Area","Fremont city","65+",2759,288
"11","San Francisco-Oakland-Berkeley, CA Metro Area","Hayward city","18-64",2335,330
"12","San Francisco-Oakland-Berkeley, CA Metro Area","Hayward city","65+",1989,214
"13","San Francisco-Oakland-Berkeley, CA Metro Area","Livermore city","18-64",2015,299
"14","San Francisco-Oakland-Berkeley, CA Metro Area","Livermore city","65+",2067,258
"15","San Francisco-Oakland-Berkeley, CA Metro Area","Walnut Creek city","18-64",820,188
"16","San Francisco-Oakland-Berkeley, CA Metro Area","Walnut Creek city","65+",3030,314
"17","San Francisco-Oakland-Berkeley, CA Metro Area","Brentwood city","18-64",1999,357
"18","San Francisco-Oakland-Berkeley, CA Metro Area","Brentwood city","65+",1847,311
"19","San Francisco-Oakland-Berkeley, CA Metro Area","San Leandro city","18-64",1623,342
"20","San Francisco-Oakland-Berkeley, CA Metro Area","San Leandro city","65+",1823,248
