"","cbsa","place","age_group","estimate","moe"
"1","San Jose-Sunnyvale-Santa Clara, CA Metro Area","San Jose city","18-64",11812,620
"2","San Jose-Sunnyvale-Santa Clara, CA Metro Area","San Jose city","65+",14269,712
"3","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Sunnyvale city","18-64",1513,282
"4","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Sunnyvale city","65+",2240,312
"5","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Santa Clara city","18-64",1397,235
"6","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Santa Clara city","65+",1663,256
"7","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Morgan Hill city","18-64",1141,243
"8","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Morgan Hill city","65+",1064,204
"9","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Gilroy city","18-64",1093,261
"10","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Gilroy city","65+",913,197
"11","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Palo Alto city","18-64",343,121
"12","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Palo Alto city","65+",1337,221
"13","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Milpitas city","18-64",849,186
"14","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Milpitas city","65+",808,149
"15","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Mountain View city","18-64",614,152
"16","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Mountain View city","65+",966,161
"17","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Campbell city","18-64",759,185
"18","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Campbell city","65+",732,236
"19","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Hollister city","18-64",727,179
"20","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Hollister city","65+",639,143
