"","cbsa","place","age_group","estimate","moe"
"1","San Luis Obispo-Paso Robles, CA Metro Area","El Paso de Robles (Paso Robles) city","18-64",1074,252
"2","San Luis Obispo-Paso Robles, CA Metro Area","El Paso de Robles (Paso Robles) city","65+",1030,224
"3","San Luis Obispo-Paso Robles, CA Metro Area","Atascadero city","18-64",1002,217
"4","San Luis Obispo-Paso Robles, CA Metro Area","Atascadero city","65+",838,190
"5","San Luis Obispo-Paso Robles, CA Metro Area","San Luis Obispo city","18-64",533,155
"6","San Luis Obispo-Paso Robles, CA Metro Area","San Luis Obispo city","65+",1051,174
"7","San Luis Obispo-Paso Robles, CA Metro Area","Nipomo CDP","18-64",402,165
"8","San Luis Obispo-Paso Robles, CA Metro Area","Nipomo CDP","65+",759,194
"9","San Luis Obispo-Paso Robles, CA Metro Area","Los Osos CDP","18-64",319,124
"10","San Luis Obispo-Paso Robles, CA Metro Area","Los Osos CDP","65+",798,156
"11","San Luis Obispo-Paso Robles, CA Metro Area","Arroyo Grande city","18-64",316,134
"12","San Luis Obispo-Paso Robles, CA Metro Area","Arroyo Grande city","65+",787,158
"13","San Luis Obispo-Paso Robles, CA Metro Area","Grover Beach city","18-64",354,157
"14","San Luis Obispo-Paso Robles, CA Metro Area","Grover Beach city","65+",520,149
"15","San Luis Obispo-Paso Robles, CA Metro Area","Morro Bay city","18-64",134,71
"16","San Luis Obispo-Paso Robles, CA Metro Area","Morro Bay city","65+",727,144
"17","San Luis Obispo-Paso Robles, CA Metro Area","Pismo Beach city","18-64",299,102
"18","San Luis Obispo-Paso Robles, CA Metro Area","Pismo Beach city","65+",517,133
"19","San Luis Obispo-Paso Robles, CA Metro Area","Cambria CDP","18-64",150,65
"20","San Luis Obispo-Paso Robles, CA Metro Area","Cambria CDP","65+",484,102
