"","cbsa","place","age_group","estimate","moe"
"1","Santa Maria-Santa Barbara, CA Metro Area","Santa Barbara city","18-64",984,232
"2","Santa Maria-Santa Barbara, CA Metro Area","Santa Barbara city","65+",2471,363
"3","Santa Maria-Santa Barbara, CA Metro Area","Santa Maria city","18-64",1784,383
"4","Santa Maria-Santa Barbara, CA Metro Area","Santa Maria city","65+",1468,191
"5","Santa Maria-Santa Barbara, CA Metro Area","Orcutt CDP","18-64",1331,234
"6","Santa Maria-Santa Barbara, CA Metro Area","Orcutt CDP","65+",1452,185
"7","Santa Maria-Santa Barbara, CA Metro Area","Lompoc city","18-64",1368,247
"8","Santa Maria-Santa Barbara, CA Metro Area","Lompoc city","65+",981,144
"9","Santa Maria-Santa Barbara, CA Metro Area","Goleta city","18-64",508,177
"10","Santa Maria-Santa Barbara, CA Metro Area","Goleta city","65+",842,163
"11","Santa Maria-Santa Barbara, CA Metro Area","Vandenberg Village CDP","18-64",679,217
"12","Santa Maria-Santa Barbara, CA Metro Area","Vandenberg Village CDP","65+",379,108
"13","Santa Maria-Santa Barbara, CA Metro Area","Carpinteria city","18-64",300,127
"14","Santa Maria-Santa Barbara, CA Metro Area","Carpinteria city","65+",425,107
"15","Santa Maria-Santa Barbara, CA Metro Area","Vandenberg AFB CDP","18-64",478,131
"16","Santa Maria-Santa Barbara, CA Metro Area","Vandenberg AFB CDP","65+",0,12
"17","Santa Maria-Santa Barbara, CA Metro Area","Mission Hills CDP","18-64",259,94
"18","Santa Maria-Santa Barbara, CA Metro Area","Mission Hills CDP","65+",201,75
"19","Santa Maria-Santa Barbara, CA Metro Area","Montecito CDP","18-64",39,28
"20","Santa Maria-Santa Barbara, CA Metro Area","Montecito CDP","65+",378,100
