"","cbsa","place","age_group","estimate","moe"
"1","Santa Rosa-Petaluma, CA Metro Area","Santa Rosa city","18-64",3523,464
"2","Santa Rosa-Petaluma, CA Metro Area","Santa Rosa city","65+",4602,444
"3","Santa Rosa-Petaluma, CA Metro Area","Petaluma city","18-64",841,194
"4","Santa Rosa-Petaluma, CA Metro Area","Petaluma city","65+",1589,251
"5","Santa Rosa-Petaluma, CA Metro Area","Rohnert Park city","18-64",1084,196
"6","Santa Rosa-Petaluma, CA Metro Area","Rohnert Park city","65+",1133,253
"7","Santa Rosa-Petaluma, CA Metro Area","Windsor town","18-64",785,157
"8","Santa Rosa-Petaluma, CA Metro Area","Windsor town","65+",838,155
"9","Santa Rosa-Petaluma, CA Metro Area","Healdsburg city","18-64",237,92
"10","Santa Rosa-Petaluma, CA Metro Area","Healdsburg city","65+",514,138
"11","Santa Rosa-Petaluma, CA Metro Area","Sonoma city","18-64",183,93
"12","Santa Rosa-Petaluma, CA Metro Area","Sonoma city","65+",431,147
"13","Santa Rosa-Petaluma, CA Metro Area","Cloverdale city","18-64",158,92
"14","Santa Rosa-Petaluma, CA Metro Area","Cloverdale city","65+",379,116
"15","Santa Rosa-Petaluma, CA Metro Area","Larkfield-Wikiup CDP","18-64",279,166
"16","Santa Rosa-Petaluma, CA Metro Area","Larkfield-Wikiup CDP","65+",185,73
"17","Santa Rosa-Petaluma, CA Metro Area","Sebastopol city","18-64",209,122
"18","Santa Rosa-Petaluma, CA Metro Area","Sebastopol city","65+",230,82
"19","Santa Rosa-Petaluma, CA Metro Area","Guerneville CDP","18-64",147,85
"20","Santa Rosa-Petaluma, CA Metro Area","Guerneville CDP","65+",288,102
