"","cbsa","place","age_group","estimate","moe"
"1","Stockton, CA Metro Area","Stockton city","18-64",5747,628
"2","Stockton, CA Metro Area","Stockton city","65+",4827,394
"3","Stockton, CA Metro Area","Manteca city","18-64",1939,325
"4","Stockton, CA Metro Area","Manteca city","65+",2083,238
"5","Stockton, CA Metro Area","Lodi city","18-64",1440,286
"6","Stockton, CA Metro Area","Lodi city","65+",1692,206
"7","Stockton, CA Metro Area","Tracy city","18-64",1967,315
"8","Stockton, CA Metro Area","Tracy city","65+",1164,193
"9","Stockton, CA Metro Area","Ripon city","18-64",536,134
"10","Stockton, CA Metro Area","Ripon city","65+",359,113
"11","Stockton, CA Metro Area","Lathrop city","18-64",389,104
"12","Stockton, CA Metro Area","Lathrop city","65+",168,63
"13","Stockton, CA Metro Area","Escalon city","18-64",174,128
"14","Stockton, CA Metro Area","Escalon city","65+",201,101
"15","Stockton, CA Metro Area","Country Club CDP","18-64",136,68
"16","Stockton, CA Metro Area","Country Club CDP","65+",225,78
"17","Stockton, CA Metro Area","Mountain House CDP","18-64",280,117
"18","Stockton, CA Metro Area","Mountain House CDP","65+",67,69
"19","Stockton, CA Metro Area","Woodbridge CDP","18-64",148,71
"20","Stockton, CA Metro Area","Woodbridge CDP","65+",158,58
