"","cbsa","place","age_group","estimate","moe"
"1","Susanville, CA Micro Area","Susanville city","18-64",335,119
"2","Susanville, CA Micro Area","Susanville city","65+",191,72
"3","Susanville, CA Micro Area","Westwood CDP","18-64",35,41
"4","Susanville, CA Micro Area","Westwood CDP","65+",127,58
"5","Susanville, CA Micro Area","Doyle CDP","18-64",53,52
"6","Susanville, CA Micro Area","Doyle CDP","65+",47,44
"7","Susanville, CA Micro Area","Johnstonville CDP","18-64",23,15
"8","Susanville, CA Micro Area","Johnstonville CDP","65+",70,29
"9","Susanville, CA Micro Area","Janesville CDP","18-64",21,21
"10","Susanville, CA Micro Area","Janesville CDP","65+",50,42
"11","Susanville, CA Micro Area","Patton Village CDP","18-64",34,41
"12","Susanville, CA Micro Area","Patton Village CDP","65+",19,29
"13","Susanville, CA Micro Area","Herlong CDP","18-64",42,25
"14","Susanville, CA Micro Area","Herlong CDP","65+",6,12
"15","Susanville, CA Micro Area","Spaulding CDP","18-64",8,12
"16","Susanville, CA Micro Area","Spaulding CDP","65+",7,11
"17","Susanville, CA Micro Area","Bieber CDP","18-64",0,12
"18","Susanville, CA Micro Area","Bieber CDP","65+",11,13
"19","Susanville, CA Micro Area","Clear Creek CDP","18-64",0,12
"20","Susanville, CA Micro Area","Clear Creek CDP","65+",5,8
