"","cbsa","place","age_group","estimate","moe"
"1","Truckee-Grass Valley, CA Micro Area","Grass Valley city","18-64",355,139
"2","Truckee-Grass Valley, CA Micro Area","Grass Valley city","65+",547,233
"3","Truckee-Grass Valley, CA Micro Area","Lake Wildwood CDP","18-64",248,114
"4","Truckee-Grass Valley, CA Micro Area","Lake Wildwood CDP","65+",573,152
"5","Truckee-Grass Valley, CA Micro Area","Truckee town","18-64",343,166
"6","Truckee-Grass Valley, CA Micro Area","Truckee town","65+",332,149
"7","Truckee-Grass Valley, CA Micro Area","Alta Sierra CDP","18-64",122,79
"8","Truckee-Grass Valley, CA Micro Area","Alta Sierra CDP","65+",381,101
"9","Truckee-Grass Valley, CA Micro Area","Lake of the Pines CDP","18-64",113,82
"10","Truckee-Grass Valley, CA Micro Area","Lake of the Pines CDP","65+",237,77
"11","Truckee-Grass Valley, CA Micro Area","Nevada City city","18-64",152,100
"12","Truckee-Grass Valley, CA Micro Area","Nevada City city","65+",104,76
"13","Truckee-Grass Valley, CA Micro Area","Penn Valley CDP","18-64",0,12
"14","Truckee-Grass Valley, CA Micro Area","Penn Valley CDP","65+",156,135
"15","Truckee-Grass Valley, CA Micro Area","Rough and Ready CDP","18-64",0,12
"16","Truckee-Grass Valley, CA Micro Area","Rough and Ready CDP","65+",36,42
"17","Truckee-Grass Valley, CA Micro Area","North San Juan CDP","18-64",13,15
"18","Truckee-Grass Valley, CA Micro Area","North San Juan CDP","65+",15,23
"19","Truckee-Grass Valley, CA Micro Area","Washington CDP","18-64",0,12
"20","Truckee-Grass Valley, CA Micro Area","Washington CDP","65+",11,11
