"","cbsa","place","age_group","estimate","moe"
"1","Ukiah, CA Micro Area","Ukiah city","18-64",435,143
"2","Ukiah, CA Micro Area","Ukiah city","65+",526,131
"3","Ukiah, CA Micro Area","Fort Bragg city","18-64",141,94
"4","Ukiah, CA Micro Area","Fort Bragg city","65+",191,68
"5","Ukiah, CA Micro Area","Willits city","18-64",161,107
"6","Ukiah, CA Micro Area","Willits city","65+",149,82
"7","Ukiah, CA Micro Area","Brooktrails CDP","18-64",86,79
"8","Ukiah, CA Micro Area","Brooktrails CDP","65+",48,47
"9","Ukiah, CA Micro Area","Redwood Valley CDP","18-64",116,90
"10","Ukiah, CA Micro Area","Redwood Valley CDP","65+",17,27
"11","Ukiah, CA Micro Area","Covelo CDP","18-64",17,25
"12","Ukiah, CA Micro Area","Covelo CDP","65+",54,32
"13","Ukiah, CA Micro Area","Cleone CDP","18-64",25,31
"14","Ukiah, CA Micro Area","Cleone CDP","65+",39,36
"15","Ukiah, CA Micro Area","Calpella CDP","18-64",26,43
"16","Ukiah, CA Micro Area","Calpella CDP","65+",33,35
"17","Ukiah, CA Micro Area","Talmage CDP","18-64",20,34
"18","Ukiah, CA Micro Area","Talmage CDP","65+",25,30
"19","Ukiah, CA Micro Area","Boonville CDP","18-64",0,12
"20","Ukiah, CA Micro Area","Boonville CDP","65+",44,32
