"","cbsa","place","age_group","estimate","moe"
"1","Vallejo, CA Metro Area","Vacaville city","18-64",5229,390
"2","Vallejo, CA Metro Area","Vacaville city","65+",3282,280
"3","Vallejo, CA Metro Area","Fairfield city","18-64",4740,446
"4","Vallejo, CA Metro Area","Fairfield city","65+",3081,315
"5","Vallejo, CA Metro Area","Vallejo city","18-64",4060,388
"6","Vallejo, CA Metro Area","Vallejo city","65+",3368,311
"7","Vallejo, CA Metro Area","Suisun City city","18-64",1813,359
"8","Vallejo, CA Metro Area","Suisun City city","65+",702,142
"9","Vallejo, CA Metro Area","Benicia city","18-64",682,126
"10","Vallejo, CA Metro Area","Benicia city","65+",1052,170
"11","Vallejo, CA Metro Area","Rio Vista city","18-64",532,187
"12","Vallejo, CA Metro Area","Rio Vista city","65+",1078,196
"13","Vallejo, CA Metro Area","Dixon city","18-64",655,186
"14","Vallejo, CA Metro Area","Dixon city","65+",525,119
"15","Vallejo, CA Metro Area","Hartley CDP","18-64",125,65
"16","Vallejo, CA Metro Area","Hartley CDP","65+",186,71
"17","Vallejo, CA Metro Area","Allendale CDP","18-64",118,66
"18","Vallejo, CA Metro Area","Allendale CDP","65+",75,49
"19","Vallejo, CA Metro Area","Elmira CDP","18-64",0,12
"20","Vallejo, CA Metro Area","Elmira CDP","65+",9,15
