"","cbsa","place","age_group","estimate","moe"
"1","Visalia, CA Metro Area","Visalia city","18-64",3505,525
"2","Visalia, CA Metro Area","Visalia city","65+",2229,312
"3","Visalia, CA Metro Area","Porterville city","18-64",1100,322
"4","Visalia, CA Metro Area","Porterville city","65+",835,198
"5","Visalia, CA Metro Area","Tulare city","18-64",1090,205
"6","Visalia, CA Metro Area","Tulare city","65+",802,174
"7","Visalia, CA Metro Area","Exeter city","18-64",222,99
"8","Visalia, CA Metro Area","Exeter city","65+",296,114
"9","Visalia, CA Metro Area","Dinuba city","18-64",226,115
"10","Visalia, CA Metro Area","Dinuba city","65+",191,71
"11","Visalia, CA Metro Area","Farmersville city","18-64",100,66
"12","Visalia, CA Metro Area","Farmersville city","65+",88,51
"13","Visalia, CA Metro Area","Three Rivers CDP","18-64",55,39
"14","Visalia, CA Metro Area","Three Rivers CDP","65+",114,47
"15","Visalia, CA Metro Area","Lindsay city","18-64",50,47
"16","Visalia, CA Metro Area","Lindsay city","65+",102,66
"17","Visalia, CA Metro Area","Springville CDP","18-64",67,76
"18","Visalia, CA Metro Area","Springville CDP","65+",75,54
"19","Visalia, CA Metro Area","Woodlake city","18-64",95,64
"20","Visalia, CA Metro Area","Woodlake city","65+",18,21
