"","cbsa","place","age_group","estimate","moe"
"1","Yuba City, CA Metro Area","Yuba City city","18-64",2542,361
"2","Yuba City, CA Metro Area","Yuba City city","65+",1575,201
"3","Yuba City, CA Metro Area","Linda CDP","18-64",1103,286
"4","Yuba City, CA Metro Area","Linda CDP","65+",462,105
"5","Yuba City, CA Metro Area","Marysville city","18-64",638,248
"6","Yuba City, CA Metro Area","Marysville city","65+",282,100
"7","Yuba City, CA Metro Area","Olivehurst CDP","18-64",403,146
"8","Yuba City, CA Metro Area","Olivehurst CDP","65+",356,98
"9","Yuba City, CA Metro Area","Wheatland city","18-64",373,125
"10","Yuba City, CA Metro Area","Wheatland city","65+",152,57
"11","Yuba City, CA Metro Area","Plumas Lake CDP","18-64",389,122
"12","Yuba City, CA Metro Area","Plumas Lake CDP","65+",58,42
"13","Yuba City, CA Metro Area","Live Oak city","18-64",190,75
"14","Yuba City, CA Metro Area","Live Oak city","65+",121,46
"15","Yuba City, CA Metro Area","Sutter CDP","18-64",78,49
"16","Yuba City, CA Metro Area","Sutter CDP","65+",103,45
"17","Yuba City, CA Metro Area","Loma Rica CDP","18-64",86,74
"18","Yuba City, CA Metro Area","Loma Rica CDP","65+",81,51
"19","Yuba City, CA Metro Area","Beale AFB CDP","18-64",137,64
"20","Yuba City, CA Metro Area","Beale AFB CDP","65+",0,12
