"","county","place","age_group","estimate","moe"
"1","Butte","Chico city","18-64",1701,298
"2","Butte","Chico city","65+",2351,287
"3","Butte","Paradise town","18-64",592,176
"4","Butte","Paradise town","65+",1291,210
"5","Butte","Magalia CDP","18-64",484,187
"6","Butte","Magalia CDP","65+",614,148
"7","Butte","Oroville East CDP","18-64",347,146
"8","Butte","Oroville East CDP","65+",586,127
"9","Butte","Oroville city","18-64",355,141
"10","Butte","Oroville city","65+",529,143
"11","Butte","Durham CDP","18-64",139,101
"12","Butte","Durham CDP","65+",345,194
"13","Butte","Thermalito CDP","18-64",242,88
"14","Butte","Thermalito CDP","65+",219,77
"15","Butte","Palermo CDP","18-64",158,101
"16","Butte","Palermo CDP","65+",294,80
"17","Butte","Kelly Ridge CDP","18-64",27,32
"18","Butte","Kelly Ridge CDP","65+",310,96
"19","Butte","Gridley city","18-64",171,91
"20","Butte","Gridley city","65+",142,66
