"","county","place","age_group","estimate","moe"
"1","Del Norte","Crescent City city","18-64",108,67
"2","Del Norte","Crescent City city","65+",140,87
"3","Del Norte","Bertsch-Oceanview CDP","18-64",46,43
"4","Del Norte","Bertsch-Oceanview CDP","65+",117,56
"5","Del Norte","Smith River CDP","18-64",28,31
"6","Del Norte","Smith River CDP","65+",40,42
"7","Del Norte","Klamath CDP","18-64",36,16
"8","Del Norte","Klamath CDP","65+",20,15
"9","Del Norte","Gasquet CDP","18-64",28,35
"10","Del Norte","Gasquet CDP","65+",10,15
"11","Del Norte","Hiouchi CDP","18-64",0,12
"12","Del Norte","Hiouchi CDP","65+",10,15
