"","county","place","age_group","estimate","moe"
"1","El Dorado","El Dorado Hills CDP","18-64",1084,198
"2","El Dorado","El Dorado Hills CDP","65+",1423,185
"3","El Dorado","Cameron Park CDP","18-64",532,139
"4","El Dorado","Cameron Park CDP","65+",1032,199
"5","El Dorado","South Lake Tahoe city","18-64",432,177
"6","El Dorado","South Lake Tahoe city","65+",726,205
"7","El Dorado","Diamond Springs CDP","18-64",295,114
"8","El Dorado","Diamond Springs CDP","65+",822,225
"9","El Dorado","Placerville city","18-64",342,182
"10","El Dorado","Placerville city","65+",390,166
"11","El Dorado","Pollock Pines CDP","18-64",343,102
"12","El Dorado","Pollock Pines CDP","65+",284,118
"13","El Dorado","Auburn Lake Trails CDP","18-64",151,75
"14","El Dorado","Auburn Lake Trails CDP","65+",150,81
"15","El Dorado","Shingle Springs CDP","18-64",131,90
"16","El Dorado","Shingle Springs CDP","65+",156,72
"17","El Dorado","Camino CDP","18-64",136,129
"18","El Dorado","Camino CDP","65+",113,57
"19","El Dorado","Georgetown CDP","18-64",32,29
"20","El Dorado","Georgetown CDP","65+",112,61
