"","county","place","age_group","estimate","moe"
"1","Humboldt","Eureka city","18-64",1018,251
"2","Humboldt","Eureka city","65+",1004,180
"3","Humboldt","McKinleyville CDP","18-64",385,137
"4","Humboldt","McKinleyville CDP","65+",696,168
"5","Humboldt","Fortuna city","18-64",302,93
"6","Humboldt","Fortuna city","65+",473,123
"7","Humboldt","Arcata city","18-64",329,155
"8","Humboldt","Arcata city","65+",320,106
"9","Humboldt","Myrtletown CDP","18-64",149,118
"10","Humboldt","Myrtletown CDP","65+",296,108
"11","Humboldt","Pine Hills CDP","18-64",32,36
"12","Humboldt","Pine Hills CDP","65+",153,77
"13","Humboldt","Cutten CDP","18-64",74,64
"14","Humboldt","Cutten CDP","65+",104,68
"15","Humboldt","Willow Creek CDP","18-64",59,63
"16","Humboldt","Willow Creek CDP","65+",74,57
"17","Humboldt","Rio Dell city","18-64",29,24
"18","Humboldt","Rio Dell city","65+",88,49
"19","Humboldt","Ferndale city","18-64",32,26
"20","Humboldt","Ferndale city","65+",69,37
