"","county","place","age_group","estimate","moe"
"1","Imperial","El Centro city","18-64",666,161
"2","Imperial","El Centro city","65+",628,177
"3","Imperial","Brawley city","18-64",510,192
"4","Imperial","Brawley city","65+",367,139
"5","Imperial","Calexico city","18-64",346,174
"6","Imperial","Calexico city","65+",322,160
"7","Imperial","Imperial city","18-64",399,152
"8","Imperial","Imperial city","65+",204,115
"9","Imperial","Salton City CDP","18-64",54,51
"10","Imperial","Salton City CDP","65+",139,68
"11","Imperial","Holtville city","18-64",58,63
"12","Imperial","Holtville city","65+",119,85
"13","Imperial","Heber CDP","18-64",31,36
"14","Imperial","Heber CDP","65+",118,102
"15","Imperial","Calipatria city","18-64",59,46
"16","Imperial","Calipatria city","65+",31,30
"17","Imperial","Seeley CDP","18-64",40,63
"18","Imperial","Seeley CDP","65+",27,44
"19","Imperial","Bombay Beach CDP","18-64",6,8
"20","Imperial","Bombay Beach CDP","65+",50,30
