"","county","place","age_group","estimate","moe"
"1","Kern","Bakersfield city","18-64",7005,649
"2","Kern","Bakersfield city","65+",5940,513
"3","Kern","Ridgecrest city","18-64",2048,429
"4","Kern","Ridgecrest city","65+",1008,178
"5","Kern","Oildale CDP","18-64",1455,347
"6","Kern","Oildale CDP","65+",614,202
"7","Kern","Rosamond CDP","18-64",1551,243
"8","Kern","Rosamond CDP","65+",406,129
"9","Kern","California City city","18-64",1046,204
"10","Kern","California City city","65+",317,96
"11","Kern","Rosedale CDP","18-64",436,161
"12","Kern","Rosedale CDP","65+",469,182
"13","Kern","Tehachapi city","18-64",434,144
"14","Kern","Tehachapi city","65+",417,146
"15","Kern","Golden Hills CDP","18-64",338,149
"16","Kern","Golden Hills CDP","65+",215,75
"17","Kern","Bear Valley Springs CDP","18-64",160,104
"18","Kern","Bear Valley Springs CDP","65+",382,139
"19","Kern","Delano city","18-64",281,164
"20","Kern","Delano city","65+",244,93
