"","county","place","age_group","estimate","moe"
"1","Kings","Hanford city","18-64",2272,390
"2","Kings","Hanford city","65+",1453,210
"3","Kings","Lemoore city","18-64",2219,403
"4","Kings","Lemoore city","65+",558,154
"5","Kings","Lemoore Station CDP","18-64",719,182
"6","Kings","Lemoore Station CDP","65+",0,17
"7","Kings","Armona CDP","18-64",160,105
"8","Kings","Armona CDP","65+",103,59
"9","Kings","Corcoran city","18-64",110,62
"10","Kings","Corcoran city","65+",133,70
"11","Kings","Avenal city","18-64",114,84
"12","Kings","Avenal city","65+",71,79
"13","Kings","Home Garden CDP","18-64",17,15
"14","Kings","Home Garden CDP","65+",40,22
"15","Kings","Grangeville CDP","18-64",15,25
"16","Kings","Grangeville CDP","65+",40,34
"17","Kings","Stratford CDP","18-64",13,20
"18","Kings","Stratford CDP","65+",12,15
"19","Kings","Hardwick CDP","18-64",5,8
"20","Kings","Hardwick CDP","65+",8,11
