"","county","place","age_group","estimate","moe"
"1","Lassen","Susanville city","18-64",335,119
"2","Lassen","Susanville city","65+",191,72
"3","Lassen","Westwood CDP","18-64",35,41
"4","Lassen","Westwood CDP","65+",127,58
"5","Lassen","Doyle CDP","18-64",53,52
"6","Lassen","Doyle CDP","65+",47,44
"7","Lassen","Johnstonville CDP","18-64",23,15
"8","Lassen","Johnstonville CDP","65+",70,29
"9","Lassen","Janesville CDP","18-64",21,21
"10","Lassen","Janesville CDP","65+",50,42
"11","Lassen","Patton Village CDP","18-64",34,41
"12","Lassen","Patton Village CDP","65+",19,29
"13","Lassen","Herlong CDP","18-64",42,25
"14","Lassen","Herlong CDP","65+",6,12
"15","Lassen","Spaulding CDP","18-64",8,12
"16","Lassen","Spaulding CDP","65+",7,11
"17","Lassen","Bieber CDP","18-64",0,12
"18","Lassen","Bieber CDP","65+",11,13
"19","Lassen","Clear Creek CDP","18-64",0,12
"20","Lassen","Clear Creek CDP","65+",5,8
