"","county","place","age_group","estimate","moe"
"1","Madera","Madera city","18-64",821,270
"2","Madera","Madera city","65+",531,151
"3","Madera","Bonadelle Ranchos-Madera Ranchos CDP","18-64",261,92
"4","Madera","Bonadelle Ranchos-Madera Ranchos CDP","65+",340,95
"5","Madera","Yosemite Lakes CDP","18-64",142,58
"6","Madera","Yosemite Lakes CDP","65+",350,106
"7","Madera","Chowchilla city","18-64",237,110
"8","Madera","Chowchilla city","65+",165,68
"9","Madera","Madera Acres CDP","18-64",116,95
"10","Madera","Madera Acres CDP","65+",225,83
"11","Madera","Ahwahnee CDP","18-64",37,33
"12","Madera","Ahwahnee CDP","65+",217,109
"13","Madera","Oakhurst CDP","18-64",0,12
"14","Madera","Oakhurst CDP","65+",218,89
"15","Madera","Coarsegold CDP","18-64",0,12
"16","Madera","Coarsegold CDP","65+",170,96
"17","Madera","Rolling Hills CDP","18-64",33,30
"18","Madera","Rolling Hills CDP","65+",78,42
"19","Madera","Nipinnawasee CDP","18-64",6,10
"20","Madera","Nipinnawasee CDP","65+",56,46
