"","county","place","age_group","estimate","moe"
"1","Marin","Novato city","18-64",949,259
"2","Marin","Novato city","65+",2063,257
"3","Marin","San Rafael city","18-64",653,237
"4","Marin","San Rafael city","65+",1341,219
"5","Marin","Mill Valley city","18-64",117,75
"6","Marin","Mill Valley city","65+",503,135
"7","Marin","San Anselmo town","18-64",118,90
"8","Marin","San Anselmo town","65+",347,114
"9","Marin","Larkspur city","18-64",89,55
"10","Marin","Larkspur city","65+",367,109
"11","Marin","Tiburon town","18-64",71,60
"12","Marin","Tiburon town","65+",366,121
"13","Marin","Tamalpais-Homestead Valley CDP","18-64",61,63
"14","Marin","Tamalpais-Homestead Valley CDP","65+",254,91
"15","Marin","Sausalito city","18-64",85,73
"16","Marin","Sausalito city","65+",175,74
"17","Marin","Corte Madera town","18-64",90,51
"18","Marin","Corte Madera town","65+",151,70
"19","Marin","Fairfax town","18-64",56,48
"20","Marin","Fairfax town","65+",168,79
