"","county","place","age_group","estimate","moe"
"1","Mendocino","Ukiah city","18-64",435,143
"2","Mendocino","Ukiah city","65+",526,131
"3","Mendocino","Fort Bragg city","18-64",141,94
"4","Mendocino","Fort Bragg city","65+",191,68
"5","Mendocino","Willits city","18-64",161,107
"6","Mendocino","Willits city","65+",149,82
"7","Mendocino","Brooktrails CDP","18-64",86,79
"8","Mendocino","Brooktrails CDP","65+",48,47
"9","Mendocino","Redwood Valley CDP","18-64",116,90
"10","Mendocino","Redwood Valley CDP","65+",17,27
"11","Mendocino","Covelo CDP","18-64",17,25
"12","Mendocino","Covelo CDP","65+",54,32
"13","Mendocino","Cleone CDP","18-64",25,31
"14","Mendocino","Cleone CDP","65+",39,36
"15","Mendocino","Calpella CDP","18-64",26,43
"16","Mendocino","Calpella CDP","65+",33,35
"17","Mendocino","Talmage CDP","18-64",20,34
"18","Mendocino","Talmage CDP","65+",25,30
"19","Mendocino","Boonville CDP","18-64",0,12
"20","Mendocino","Boonville CDP","65+",44,32
