"","county","place","age_group","estimate","moe"
"1","Monterey","Salinas city","18-64",1564,301
"2","Monterey","Salinas city","65+",1703,274
"3","Monterey","Monterey city","18-64",1122,257
"4","Monterey","Monterey city","65+",919,189
"5","Monterey","Seaside city","18-64",1140,259
"6","Monterey","Seaside city","65+",684,128
"7","Monterey","Marina city","18-64",899,210
"8","Monterey","Marina city","65+",539,141
"9","Monterey","Prunedale CDP","18-64",327,121
"10","Monterey","Prunedale CDP","65+",736,174
"11","Monterey","Pacific Grove city","18-64",238,87
"12","Monterey","Pacific Grove city","65+",706,124
"13","Monterey","Carmel-by-the-Sea city","18-64",94,73
"14","Monterey","Carmel-by-the-Sea city","65+",302,109
"15","Monterey","Del Monte Forest CDP","18-64",55,50
"16","Monterey","Del Monte Forest CDP","65+",319,77
"17","Monterey","Carmel Valley Village CDP","18-64",31,38
"18","Monterey","Carmel Valley Village CDP","65+",241,104
"19","Monterey","Del Rey Oaks city","18-64",83,27
"20","Monterey","Del Rey Oaks city","65+",86,23
