"","county","place","age_group","estimate","moe"
"1","Nevada","Grass Valley city","18-64",355,139
"2","Nevada","Grass Valley city","65+",547,233
"3","Nevada","Lake Wildwood CDP","18-64",248,114
"4","Nevada","Lake Wildwood CDP","65+",573,152
"5","Nevada","Truckee town","18-64",343,166
"6","Nevada","Truckee town","65+",332,149
"7","Nevada","Alta Sierra CDP","18-64",122,79
"8","Nevada","Alta Sierra CDP","65+",381,101
"9","Nevada","Lake of the Pines CDP","18-64",113,82
"10","Nevada","Lake of the Pines CDP","65+",237,77
"11","Nevada","Nevada City city","18-64",152,100
"12","Nevada","Nevada City city","65+",104,76
"13","Nevada","Penn Valley CDP","18-64",0,12
"14","Nevada","Penn Valley CDP","65+",156,135
"15","Nevada","Rough and Ready CDP","18-64",0,12
"16","Nevada","Rough and Ready CDP","65+",36,42
"17","Nevada","North San Juan CDP","18-64",13,15
"18","Nevada","North San Juan CDP","65+",15,23
"19","Nevada","Washington CDP","18-64",0,12
"20","Nevada","Washington CDP","65+",11,11
