"","county","place","age_group","estimate","moe"
"1","Orange","Huntington Beach city","18-64",3965,454
"2","Orange","Huntington Beach city","65+",6140,511
"3","Orange","Anaheim city","18-64",4516,499
"4","Orange","Anaheim city","65+",4818,377
"5","Orange","Irvine city","18-64",2734,509
"6","Orange","Irvine city","65+",2735,304
"7","Orange","Mission Viejo city","18-64",2008,248
"8","Orange","Mission Viejo city","65+",3034,300
"9","Orange","Santa Ana city","18-64",2597,396
"10","Orange","Santa Ana city","65+",2259,223
"11","Orange","Fullerton city","18-64",2271,340
"12","Orange","Fullerton city","65+",2533,276
"13","Orange","Garden Grove city","18-64",2121,292
"14","Orange","Garden Grove city","65+",2660,291
"15","Orange","Orange city","18-64",1958,287
"16","Orange","Orange city","65+",2298,323
"17","Orange","Newport Beach city","18-64",907,308
"18","Orange","Newport Beach city","65+",3261,351
"19","Orange","Costa Mesa city","18-64",1951,330
"20","Orange","Costa Mesa city","65+",2191,257
