"","county","place","age_group","estimate","moe"
"1","Placer","Roseville city","18-64",3811,469
"2","Placer","Roseville city","65+",4590,411
"3","Placer","Lincoln city","18-64",1359,229
"4","Placer","Lincoln city","65+",2356,244
"5","Placer","Rocklin city","18-64",1920,250
"6","Placer","Rocklin city","65+",1492,188
"7","Placer","Granite Bay CDP","18-64",531,154
"8","Placer","Granite Bay CDP","65+",831,164
"9","Placer","North Auburn CDP","18-64",309,103
"10","Placer","North Auburn CDP","65+",781,148
"11","Placer","Auburn city","18-64",443,190
"12","Placer","Auburn city","65+",550,131
"13","Placer","Loomis town","18-64",131,99
"14","Placer","Loomis town","65+",193,95
"15","Placer","Meadow Vista CDP","18-64",74,50
"16","Placer","Meadow Vista CDP","65+",186,74
"17","Placer","Foresthill CDP","18-64",61,49
"18","Placer","Foresthill CDP","65+",147,154
"19","Placer","Sheridan CDP","18-64",39,34
"20","Placer","Sheridan CDP","65+",113,93
