"","county","place","age_group","estimate","moe"
"1","Riverside","Riverside city","18-64",6508,646
"2","Riverside","Riverside city","65+",5423,485
"3","Riverside","Temecula city","18-64",6535,556
"4","Riverside","Temecula city","65+",2233,310
"5","Riverside","Moreno Valley city","18-64",4964,553
"6","Riverside","Moreno Valley city","65+",2845,321
"7","Riverside","Menifee city","18-64",3836,488
"8","Riverside","Menifee city","65+",3707,370
"9","Riverside","Murrieta city","18-64",4926,514
"10","Riverside","Murrieta city","65+",2315,297
"11","Riverside","Hemet city","18-64",2505,361
"12","Riverside","Hemet city","65+",3836,354
"13","Riverside","Corona city","18-64",3950,430
"14","Riverside","Corona city","65+",2062,290
"15","Riverside","Palm Desert city","18-64",764,166
"16","Riverside","Palm Desert city","65+",3645,330
"17","Riverside","Palm Springs city","18-64",1089,233
"18","Riverside","Palm Springs city","65+",3123,203
"19","Riverside","Indio city","18-64",1025,208
"20","Riverside","Indio city","65+",2567,343
