"","county","place","age_group","estimate","moe"
"1","San Bernardino","Rancho Cucamonga city","18-64",3710,429
"2","San Bernardino","Rancho Cucamonga city","65+",3205,333
"3","San Bernardino","San Bernardino city","18-64",3569,416
"4","San Bernardino","San Bernardino city","65+",2830,292
"5","San Bernardino","Apple Valley town","18-64",2848,380
"6","San Bernardino","Apple Valley town","65+",2801,289
"7","San Bernardino","Victorville city","18-64",3445,632
"8","San Bernardino","Victorville city","65+",1994,309
"9","San Bernardino","Fontana city","18-64",3359,491
"10","San Bernardino","Fontana city","65+",1764,267
"11","San Bernardino","Ontario city","18-64",2465,303
"12","San Bernardino","Ontario city","65+",1967,242
"13","San Bernardino","Hesperia city","18-64",2206,341
"14","San Bernardino","Hesperia city","65+",1868,194
"15","San Bernardino","Redlands city","18-64",1771,302
"16","San Bernardino","Redlands city","65+",1827,248
"17","San Bernardino","Upland city","18-64",1219,203
"18","San Bernardino","Upland city","65+",1959,226
"19","San Bernardino","Chino Hills city","18-64",1892,345
"20","San Bernardino","Chino Hills city","65+",1163,179
