"","county","place","age_group","estimate","moe"
"1","San Diego","San Diego city","18-64",51634,1500
"2","San Diego","San Diego city","65+",33244,1037
"3","San Diego","Chula Vista city","18-64",10840,985
"4","San Diego","Chula Vista city","65+",5144,575
"5","San Diego","Oceanside city","18-64",9300,796
"6","San Diego","Oceanside city","65+",6355,415
"7","San Diego","Escondido city","18-64",4501,457
"8","San Diego","Escondido city","65+",3031,318
"9","San Diego","El Cajon city","18-64",4168,491
"10","San Diego","El Cajon city","65+",2059,284
"11","San Diego","Carlsbad city","18-64",2957,424
"12","San Diego","Carlsbad city","65+",3242,369
"13","San Diego","Santee city","18-64",3556,391
"14","San Diego","Santee city","65+",2036,232
"15","San Diego","San Marcos city","18-64",2911,457
"16","San Diego","San Marcos city","65+",2542,375
"17","San Diego","Vista city","18-64",3494,424
"18","San Diego","Vista city","65+",1669,218
"19","San Diego","La Mesa city","18-64",2840,458
"20","San Diego","La Mesa city","65+",1393,229
