"","county","place","age_group","estimate","moe"
"1","San Joaquin","Stockton city","18-64",5747,628
"2","San Joaquin","Stockton city","65+",4827,394
"3","San Joaquin","Manteca city","18-64",1939,325
"4","San Joaquin","Manteca city","65+",2083,238
"5","San Joaquin","Lodi city","18-64",1440,286
"6","San Joaquin","Lodi city","65+",1692,206
"7","San Joaquin","Tracy city","18-64",1967,315
"8","San Joaquin","Tracy city","65+",1164,193
"9","San Joaquin","Ripon city","18-64",536,134
"10","San Joaquin","Ripon city","65+",359,113
"11","San Joaquin","Lathrop city","18-64",389,104
"12","San Joaquin","Lathrop city","65+",168,63
"13","San Joaquin","Escalon city","18-64",174,128
"14","San Joaquin","Escalon city","65+",201,101
"15","San Joaquin","Country Club CDP","18-64",136,68
"16","San Joaquin","Country Club CDP","65+",225,78
"17","San Joaquin","Mountain House CDP","18-64",280,117
"18","San Joaquin","Mountain House CDP","65+",67,69
"19","San Joaquin","Woodbridge CDP","18-64",148,71
"20","San Joaquin","Woodbridge CDP","65+",158,58
