"","county","place","age_group","estimate","moe"
"1","Santa Clara","San Jose city","18-64",11812,620
"2","Santa Clara","San Jose city","65+",14269,712
"3","Santa Clara","Sunnyvale city","18-64",1513,282
"4","Santa Clara","Sunnyvale city","65+",2240,312
"5","Santa Clara","Santa Clara city","18-64",1397,235
"6","Santa Clara","Santa Clara city","65+",1663,256
"7","Santa Clara","Morgan Hill city","18-64",1141,243
"8","Santa Clara","Morgan Hill city","65+",1064,204
"9","Santa Clara","Gilroy city","18-64",1093,261
"10","Santa Clara","Gilroy city","65+",913,197
"11","Santa Clara","Palo Alto city","18-64",343,121
"12","Santa Clara","Palo Alto city","65+",1337,221
"13","Santa Clara","Milpitas city","18-64",849,186
"14","Santa Clara","Milpitas city","65+",808,149
"15","Santa Clara","Mountain View city","18-64",614,152
"16","Santa Clara","Mountain View city","65+",966,161
"17","Santa Clara","Campbell city","18-64",759,185
"18","Santa Clara","Campbell city","65+",732,236
"19","Santa Clara","Cupertino city","18-64",204,89
"20","Santa Clara","Cupertino city","65+",1011,190
