"","county","place","age_group","estimate","moe"
"1","Shasta","Redding city","18-64",2745,357
"2","Shasta","Redding city","65+",3639,270
"3","Shasta","Shasta Lake city","18-64",436,140
"4","Shasta","Shasta Lake city","65+",437,96
"5","Shasta","Anderson city","18-64",347,120
"6","Shasta","Anderson city","65+",294,81
"7","Shasta","Shingletown CDP","18-64",32,33
"8","Shasta","Shingletown CDP","65+",231,70
"9","Shasta","Bella Vista CDP","18-64",34,23
"10","Shasta","Bella Vista CDP","65+",204,43
"11","Shasta","Shasta CDP","18-64",82,52
"12","Shasta","Shasta CDP","65+",94,48
"13","Shasta","Cottonwood CDP","18-64",128,90
"14","Shasta","Cottonwood CDP","65+",22,28
"15","Shasta","Burney CDP","18-64",46,43
"16","Shasta","Burney CDP","65+",93,60
"17","Shasta","Palo Cedro CDP","18-64",13,16
"18","Shasta","Palo Cedro CDP","65+",110,44
"19","Shasta","Mountain Gate CDP","18-64",59,43
"20","Shasta","Mountain Gate CDP","65+",29,25
