"","county","place","age_group","estimate","moe"
"1","Solano","Vacaville city","18-64",5229,390
"2","Solano","Vacaville city","65+",3282,280
"3","Solano","Fairfield city","18-64",4740,446
"4","Solano","Fairfield city","65+",3081,315
"5","Solano","Vallejo city","18-64",4060,388
"6","Solano","Vallejo city","65+",3368,311
"7","Solano","Suisun City city","18-64",1813,359
"8","Solano","Suisun City city","65+",702,142
"9","Solano","Benicia city","18-64",682,126
"10","Solano","Benicia city","65+",1052,170
"11","Solano","Rio Vista city","18-64",532,187
"12","Solano","Rio Vista city","65+",1078,196
"13","Solano","Dixon city","18-64",655,186
"14","Solano","Dixon city","65+",525,119
"15","Solano","Hartley CDP","18-64",125,65
"16","Solano","Hartley CDP","65+",186,71
"17","Solano","Allendale CDP","18-64",118,66
"18","Solano","Allendale CDP","65+",75,49
"19","Solano","Elmira CDP","18-64",0,12
"20","Solano","Elmira CDP","65+",9,15
