"","county","place","age_group","estimate","moe"
"1","Sonoma","Santa Rosa city","18-64",3523,464
"2","Sonoma","Santa Rosa city","65+",4602,444
"3","Sonoma","Petaluma city","18-64",841,194
"4","Sonoma","Petaluma city","65+",1589,251
"5","Sonoma","Rohnert Park city","18-64",1084,196
"6","Sonoma","Rohnert Park city","65+",1133,253
"7","Sonoma","Windsor town","18-64",785,157
"8","Sonoma","Windsor town","65+",838,155
"9","Sonoma","Healdsburg city","18-64",237,92
"10","Sonoma","Healdsburg city","65+",514,138
"11","Sonoma","Sonoma city","18-64",183,93
"12","Sonoma","Sonoma city","65+",431,147
"13","Sonoma","Cloverdale city","18-64",158,92
"14","Sonoma","Cloverdale city","65+",379,116
"15","Sonoma","Larkfield-Wikiup CDP","18-64",279,166
"16","Sonoma","Larkfield-Wikiup CDP","65+",185,73
"17","Sonoma","Sebastopol city","18-64",209,122
"18","Sonoma","Sebastopol city","65+",230,82
"19","Sonoma","Guerneville CDP","18-64",147,85
"20","Sonoma","Guerneville CDP","65+",288,102
