"","county","place","age_group","estimate","moe"
"1","Stanislaus","Modesto city","18-64",4323,495
"2","Stanislaus","Modesto city","65+",4861,465
"3","Stanislaus","Turlock city","18-64",1312,355
"4","Stanislaus","Turlock city","65+",1014,180
"5","Stanislaus","Ceres city","18-64",553,131
"6","Stanislaus","Ceres city","65+",721,134
"7","Stanislaus","Oakdale city","18-64",650,203
"8","Stanislaus","Oakdale city","65+",348,121
"9","Stanislaus","Patterson city","18-64",676,251
"10","Stanislaus","Patterson city","65+",181,115
"11","Stanislaus","Riverbank city","18-64",415,138
"12","Stanislaus","Riverbank city","65+",323,93
"13","Stanislaus","Newman city","18-64",246,131
"14","Stanislaus","Newman city","65+",265,130
"15","Stanislaus","Salida CDP","18-64",170,81
"16","Stanislaus","Salida CDP","65+",320,158
"17","Stanislaus","Hughson city","18-64",229,134
"18","Stanislaus","Hughson city","65+",197,104
"19","Stanislaus","Waterford city","18-64",221,111
"20","Stanislaus","Waterford city","65+",102,65
