"","county","place","age_group","estimate","moe"
"1","Tulare","Visalia city","18-64",3505,525
"2","Tulare","Visalia city","65+",2229,312
"3","Tulare","Porterville city","18-64",1100,322
"4","Tulare","Porterville city","65+",835,198
"5","Tulare","Tulare city","18-64",1090,205
"6","Tulare","Tulare city","65+",802,174
"7","Tulare","Exeter city","18-64",222,99
"8","Tulare","Exeter city","65+",296,114
"9","Tulare","Dinuba city","18-64",226,115
"10","Tulare","Dinuba city","65+",191,71
"11","Tulare","Farmersville city","18-64",100,66
"12","Tulare","Farmersville city","65+",88,51
"13","Tulare","Three Rivers CDP","18-64",55,39
"14","Tulare","Three Rivers CDP","65+",114,47
"15","Tulare","Lindsay city","18-64",50,47
"16","Tulare","Lindsay city","65+",102,66
"17","Tulare","Springville CDP","18-64",67,76
"18","Tulare","Springville CDP","65+",75,54
"19","Tulare","Woodlake city","18-64",95,64
"20","Tulare","Woodlake city","65+",18,21
