"","county","place","age_group","estimate","moe"
"1","Tuolumne","Phoenix Lake CDP","18-64",176,116
"2","Tuolumne","Phoenix Lake CDP","65+",297,137
"3","Tuolumne","Sonora city","18-64",90,65
"4","Tuolumne","Sonora city","65+",312,83
"5","Tuolumne","East Sonora CDP","18-64",158,147
"6","Tuolumne","East Sonora CDP","65+",212,116
"7","Tuolumne","Pine Mountain Lake CDP","18-64",66,42
"8","Tuolumne","Pine Mountain Lake CDP","65+",277,87
"9","Tuolumne","Jamestown CDP","18-64",145,101
"10","Tuolumne","Jamestown CDP","65+",193,92
"11","Tuolumne","Mono Vista CDP","18-64",196,124
"12","Tuolumne","Mono Vista CDP","65+",93,71
"13","Tuolumne","Columbia CDP","18-64",75,68
"14","Tuolumne","Columbia CDP","65+",211,88
"15","Tuolumne","Soulsbyville CDP","18-64",75,70
"16","Tuolumne","Soulsbyville CDP","65+",125,75
"17","Tuolumne","Twain Harte CDP","18-64",141,116
"18","Tuolumne","Twain Harte CDP","65+",51,45
"19","Tuolumne","Tuolumne City CDP","18-64",110,101
"20","Tuolumne","Tuolumne City CDP","65+",19,29
