"","county","place","age_group","estimate","moe"
"1","Ventura","Oxnard city","18-64",4146,420
"2","Ventura","Oxnard city","65+",2989,330
"3","Ventura","San Buenaventura (Ventura) city","18-64",2912,355
"4","Ventura","San Buenaventura (Ventura) city","65+",3841,297
"5","Ventura","Thousand Oaks city","18-64",1753,268
"6","Ventura","Thousand Oaks city","65+",4299,366
"7","Ventura","Simi Valley city","18-64",2509,350
"8","Ventura","Simi Valley city","65+",3175,290
"9","Ventura","Camarillo city","18-64",1926,358
"10","Ventura","Camarillo city","65+",2698,272
"11","Ventura","Moorpark city","18-64",639,159
"12","Ventura","Moorpark city","65+",881,186
"13","Ventura","Port Hueneme city","18-64",873,232
"14","Ventura","Port Hueneme city","65+",404,131
"15","Ventura","Santa Paula city","18-64",467,160
"16","Ventura","Santa Paula city","65+",508,123
"17","Ventura","Fillmore city","18-64",564,193
"18","Ventura","Fillmore city","65+",323,119
"19","Ventura","Mira Monte CDP","18-64",266,119
"20","Ventura","Mira Monte CDP","65+",265,110
