"","county","place","age_group","estimate","moe"
"1","Yolo","Woodland city","18-64",1028,216
"2","Yolo","Woodland city","65+",1247,197
"3","Yolo","West Sacramento city","18-64",1289,259
"4","Yolo","West Sacramento city","65+",906,175
"5","Yolo","Davis city","18-64",915,193
"6","Yolo","Davis city","65+",970,147
"7","Yolo","Winters city","18-64",154,92
"8","Yolo","Winters city","65+",81,60
"9","Yolo","Esparto CDP","18-64",46,48
"10","Yolo","Esparto CDP","65+",120,67
"11","Yolo","Monument Hills CDP","18-64",83,69
"12","Yolo","Monument Hills CDP","65+",61,54
"13","Yolo","Dunnigan CDP","18-64",28,34
"14","Yolo","Dunnigan CDP","65+",35,28
"15","Yolo","Guinda CDP","18-64",30,47
"16","Yolo","Guinda CDP","65+",10,16
"17","Yolo","Knights Landing CDP","18-64",0,12
"18","Yolo","Knights Landing CDP","65+",17,28
"19","Yolo","Madison CDP","18-64",9,13
"20","Yolo","Madison CDP","65+",0,12
