"","county","place","age_group","estimate","moe"
"1","Yuba","Linda CDP","18-64",1103,286
"2","Yuba","Linda CDP","65+",462,105
"3","Yuba","Marysville city","18-64",638,248
"4","Yuba","Marysville city","65+",282,100
"5","Yuba","Olivehurst CDP","18-64",403,146
"6","Yuba","Olivehurst CDP","65+",356,98
"7","Yuba","Wheatland city","18-64",373,125
"8","Yuba","Wheatland city","65+",152,57
"9","Yuba","Plumas Lake CDP","18-64",389,122
"10","Yuba","Plumas Lake CDP","65+",58,42
"11","Yuba","Loma Rica CDP","18-64",86,74
"12","Yuba","Loma Rica CDP","65+",81,51
"13","Yuba","Beale AFB CDP","18-64",137,64
"14","Yuba","Beale AFB CDP","65+",0,12
"15","Yuba","Challenge-Brownsville CDP","18-64",31,49
"16","Yuba","Challenge-Brownsville CDP","65+",47,52
"17","Yuba","Camptonville CDP","18-64",12,14
"18","Yuba","Camptonville CDP","65+",27,26
"19","Yuba","Smartsville CDP","18-64",12,17
"20","Yuba","Smartsville CDP","65+",10,13
